FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2503, fi_cycle=2132818, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4368, fi_cycle=59373, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=35, opcode=sdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4370, fi_cycle=2160830, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=55, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4372, fi_cycle=1269020, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=18, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=371113, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1439, fi_cycle=2968508, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=25, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3149, fi_cycle=1518602, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2541, fi_cycle=2170645, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=19, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4377, fi_cycle=651087, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=3075195, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4377, fi_cycle=2784834, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=28, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=2767831, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1395, fi_cycle=2662457, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1475, fi_cycle=1778144, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4377, fi_cycle=1281744, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2559, fi_cycle=3384762, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=13, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4374, fi_cycle=70748, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=58, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1465, fi_cycle=290929, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=9, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=2782314, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4376, fi_cycle=659205, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=2164854, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=1872629, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2529, fi_cycle=3075339, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=13, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2525, fi_cycle=53787, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=2487281, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=1875475, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4373, fi_cycle=361507, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1375, fi_cycle=2962150, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1451, fi_cycle=3605460, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=954709, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=62, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2623, fi_cycle=1125365, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4372, fi_cycle=966965, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=63, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=1872777, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=2, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4367, fi_cycle=73125, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=50, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2614, fi_cycle=1741591, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=10, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=2485032, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4375, fi_cycle=2780643, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=3, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=3065866, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3, fi_cycle=2499451, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=9, opcode=alloca
